id,name,type,gender,country,begin_date,end_date,begin_area_id,begin_area_name,area_id,area_name,place_id,place,place_full,place_latlng
22655bd5-1e82-4d5c-9d5d-c6897cae6362,Büyük Ev Ablukada,Group,,TR,2008,,,,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey,d3be28b4-41f7-3752-8a05-ed45e1d1e492,Turkey,Turkey,"38.9597594,34.9249653"
578e5d1c-be21-4158-b147-30aad67f207d,Benjamin Clementine,Person,Male,GB,1988-12-07,,,,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,United Kingdom,"54.7023545,-3.2765752"
ccd4879c-5e88-4385-b131-bf65296bf245,Echo & The Bunnymen,Group,,GB,1978,,c249c30e-88ab-4b2f-a745-96a25bd7afee,Liverpool,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,c249c30e-88ab-4b2f-a745-96a25bd7afee,Liverpool,"Liverpool, Merseyside, England, United Kingdom","53.4083714,-2.9915726"
bd513de0-e42f-425e-ae46-817d7bc5fb1c,Archive,Group,,GB,1994,,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,"London, England, United Kingdom","51.5073219,-0.1276473"
c4ff10e0-ae5a-467d-a409-6e0b4bf241eb,Perfume Genius,Person,Male,US,,,,,489ce91b-6658-3307-9877-795b68554c98,United States,489ce91b-6658-3307-9877-795b68554c98,United States,United States,"39.7837304,-100.4458824"
d0cd81a5-0d64-404e-9bd3-932c019694b3,Lamb,Group,,,,,,,,,,,,
b1eac47e-77b5-4f5c-ae33-442c07182278,Feu! Chatterton,Group,,,2011,,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,dc10c22b-e510-4006-8b7f-fecb4f36436e,Paris,"Paris, Île-de-France, France","48.8566101,2.3514992"
a4e3e7ca-87d7-4d5d-8a36-72e5f043e378,Ibeyi,Group,,FR,2012,,,,08310658-51eb-3801-80de-5a0739207115,France,08310658-51eb-3801-80de-5a0739207115,France,France,"46.603354,1.8883335"
9b735e38-2d0c-4c9f-9b3f-052a7326d1eb,Astronauts,Group,,,2014,,,,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,f03d09b3-39dc-4083-afd6-159e3f0d462f,London,"London, England, United Kingdom","51.5073219,-0.1276473"
e938a15c-b17e-4e7a-9f68-ff0d536cab44,The Jesus and Mary Chain,Group,,GB,1984,,a98a93a1-1de5-4835-a66a-b703b9fc8c9f,East Kilbride,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,a98a93a1-1de5-4835-a66a-b703b9fc8c9f,East Kilbride,"East Kilbride, South Lanarkshire, Scotland, United Kingdom","55.7653249,-4.1829939"
